Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length
2267,1062,103.9769545,30.67452243,1097,103.9777133,30.67160147,331.8010694
2268,1064,104.1178297,30.65328507,1601,104.1149881,30.65323511,272.3314862
2269,1065,104.065939,30.57440927,1130,104.0568157,30.57426532,875.0489531
2270,1066,104.0927252,30.59715528,1301,104.0919401,30.60210279,553.4677936
2271,1067,104.0566467,30.68829729,1138,104.0526151,30.68752187,395.6206195
2272,1067,104.0566467,30.68829729,1518,104.0589175,30.68386085,537.6552034
2273,1067,104.0566467,30.68829729,1488,104.0577429,30.68833203,105.0625162
2274,1644,104.0545982,30.69165952,1067,104.0566467,30.68829729,421.1430197
2275,1722,104.0649365,30.66253637,1070,104.0632366,30.6647108,290.8636252
2276,1070,104.0632366,30.6647108,1495,104.0630465,30.66775544,337.929925
2277,1071,104.1010221,30.64333997,1207,104.1044176,30.64089419,423.5021802
2278,1071,104.1010221,30.64333997,1472,104.1015145,30.64422921,109.266746
2279,1074,104.0394068,30.67962794,1608,104.0387343,30.67848323,142.2918038
2280,1074,104.0394068,30.67962794,1593,104.0343495,30.68190113,546.0513157
2281,1075,104.0809578,30.68481948,1409,104.0783637,30.68119666,472.1895863
2282,1075,104.0809578,30.68481948,1253,104.0793448,30.68519776,160.0988055
2283,1075,104.0809578,30.68481948,1361,104.0825614,30.68754155,338.5388773
2284,1076,103.9935681,30.64596869,1090,103.9913554,30.64443734,271.5977925
2285,1077,104.001536,30.66675667,1390,104.000394,30.6652792,196.9410506
